name of product, discounted price, actual price, discount, image url of product, image2 url of product
Plain T-shirt Combo - Pick Any 4,   ₹998 ,   ₹1,599 ,(38% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/c/o/colors_1.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Plain T-shirt Combo - Pick Any 3,   ₹799 ,   ₹1,499 ,(47% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/c/o/colors_1_3.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Plain T-shirt Combo - Pick Any 2,   ₹599 ,   ₹999 ,(40% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/c/o/colors_1_5.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Plain T-shirts Combo Black & White,   ₹599 ,   ₹999 ,(40% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/w/h/white_and_black.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Avenger Logo Combo T-shirt - Pack of Two,   ₹549 ,   ₹1,099 ,(50% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/2/0/2020-02-14_1.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Plain T-shirts Combo White & Rose Pink,   ₹599 ,   ₹999 ,(40% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/w/h/white_pink_hanger_1.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Panda Combo T-shirt - Pack of Three,   ₹825 ,   ₹1,499 ,(45% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/h/a/hanging_panda_mustard_men_model.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Plain T-shirts Combo Red & Navy Blue,   ₹599 ,   ₹999 ,(40% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/r/e/red_navy_blue_hanger_1.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
DC Combo T-shirt - Pack of Two ,   ₹575 ,   ₹1,099 ,(48% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/b/a/batman_black_men_model_2.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
TRI Color Combo T-shirts,   ₹799 ,   ₹1,499 ,(47% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/v/i/vintage_orange_1_1.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Travel Combo - Pack of Three Combo T-shirt,   ₹825 ,   ₹1,499 ,(45% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/e/x/explore_the_unseen_mustard_men_model_1_1.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
Plain T-shirts Combo Burgundy & Rose Pink ,   ₹599 ,   ₹999 ,(40% off),https://www.beyoung.in/media/catalog/product/cache/a2ab128dd7882d54c4899772914c19b3/p/i/pink_and_burgundy.jpg,https://www.beyoung.in/media/wysiwyg/loaderbey.gif
